ETF,CC_etf_co_d_high,CC_etf_co_m_high,CC_etf_co_w_high,CC_etf_oc_d_high,CC_etf_oc_m_high,CC_etf_oc_w_high,CO_etf_co_d_high,CO_etf_co_m_high,CO_etf_co_w_high,CO_etf_oc_d_high,CO_etf_oc_m_high,CO_etf_oc_w_high,OC_etf_co_d_high,OC_etf_co_m_high,OC_etf_co_w_high,OC_etf_oc_d_high,OC_etf_oc_m_high,OC_etf_oc_w_high
GLD,-0.2990915600666534,-0.9075635356955604,0.3318299522099217,-0.1955272414303739,1.2684543107860315,0.0328935250413706,-0.1009350286991133,-0.4489632621148918,0.28150743693254,-0.1005616771776061,0.7510358908129399,0.0288882625996066,-0.1981221190386001,-0.4587980492409632,0.0502213846859152,-0.0949614120889774,0.5174051356389076,0.0040384061320568
IWM,-0.3743968084001125,1.0305417040223142,-0.007314904997154,-0.159042840220338,0.0895223607842302,0.4309345982328773,-0.1937874171879086,0.862751562907237,-0.0718049986779312,-0.1012625235573882,-0.0186906013359986,0.1633342837026087,-0.1806232642360155,0.167631098959695,0.0644753116482492,-0.0577778001827496,0.1083689138368582,0.2675961249221368
QQQ,-0.2765331863457821,0.8968837304475835,0.0728198148132448,-0.1169839665773376,0.3252805390715381,0.1447533102850795,-0.2036906539265589,0.6390902444039367,0.0672026569400109,-0.0554981750506071,0.0430412271445672,0.0972423360558043,-0.072864986233002,0.2579191656824996,0.0055733764577256,-0.0614779645231311,0.282571890823159,0.0474739581571303
SPY,-0.4721918693126096,1.4645128758316597,0.0495872517363018,-0.1736698446201623,0.2804642879695451,0.2409764865240361,-0.2530256222482479,1.098646744924581,-0.0312111637774149,-0.1173377429750718,0.0759740671432046,0.0573571870021682,-0.2191799394456475,0.3659402717376867,0.0807909066939645,-0.0563301502829806,0.2046075713287447,0.1835949636693786
TLT,0.2295482702990738,-0.7530262571144114,-0.3951924839501756,0.0221414084171794,-0.1385414264991912,-0.1573037681494693,0.1153710352996362,-0.770687717591577,0.1021467544116155,-0.0615510604264033,-0.1871128426596697,0.4049457621010547,0.1141032209978213,0.0176377851709862,-0.4972529813948877,0.0836904655603541,0.0485822169849603,-0.5623383874110195
XLE,-0.3158484176935432,0.5138682601565627,0.2212175475951519,-0.0720567029540448,0.329927031017418,0.0712896380938052,-0.1367767557025743,0.555350990428618,-0.0723041240368036,-0.0709723283155063,0.1647302725690102,0.0530278005048703,-0.179091964948125,-0.0417325489969201,0.2935319027126042,-0.0010985056173582,0.1652347269636118,0.0182828373065703
XLF,-0.2613087157778676,1.1151978400508855,-0.0218998693350123,-0.0996957755321123,0.1737144049974147,0.0566886982377034,-0.1225454244786521,0.6822529809292527,-0.0373585238742184,-0.0697699594379209,0.2274308111352898,-0.0634014681017643,-0.1387636727970799,0.4330658742867166,0.0154677711878747,-0.0299264004203106,-0.0537468020143849,0.1200602131196337
XLK,-0.2642199631824835,0.8456796934981701,-0.0162294185006615,-0.1219298529829477,0.0678840501874428,0.2313553416907251,-0.1422418877868837,0.5716053311114699,0.0182507568664288,-0.0655228456430138,-0.1415681369429053,0.0558429668809429,-0.1219848858585229,0.2742379199641255,-0.0345345121349025,-0.0564081179025756,0.2097102388913763,0.1754892836273477
XLV,-0.3118315379664815,1.1453362016285071,0.0119174161958298,-0.2329391877877354,0.4589620255176941,0.1178170106361398,-0.2341836099297359,0.6588146353106834,0.0970410868008156,-0.1573835306745865,0.1675284944187555,0.0551186968424183,-0.0776380076117306,0.4866888613728763,-0.0851204273016605,-0.0755498793279558,0.2914857446828461,0.062705182758889
XLY,-0.3217440334782413,1.3530875576104655,-0.0687583569639264,-0.1303844908781206,-0.1505260709160961,0.3905720741544237,-0.2027218913524709,0.8495392563613703,-0.0101918637701573,-0.067436072839333,-0.0442808637244758,0.1319482966107231,-0.1190578042017594,0.503604446756447,-0.0584686073329475,-0.0629480778184026,-0.1061955267030504,0.2585999428857259
